address,zipcode,year_built
206 W MICHIGAN AVE,48197,1879
32-42 N HURON ST,48197,1875
818 N PROSPECT ST,48198,1890
126 HAWKINS ST,48197,1899
103-105 BELL RD,48197,1840
360 1ST AVE,48197,1889
412 S WASHINGTON ST,48197,1860
322 CHIDESTER ST,48197,1890
306 S HURON ST,48197,1888
102 S GROVE ST,48198,1880
608 W MICHIGAN AVE,48197,1893
4 S SUMMIT ST,48197,1843
1 N SUMMIT ST,48197,1886
1008 N CONGRESS ST,48197,1894
2 W MICHIGAN AVE,48197,1888
20 N SUMMIT ST,48197,1884
411 PEARL ST,48197,1869
504 PEARL ST,48197,1894
124 COLLEGE PL,48197,1895
120 N HAMILTON ST,48197,1844
125 MILES ST,48198,1870
309 WASHTENAW AVE,48197,1895
3040 PROSPECT RD,48198,1874
29 E CROSS ST,48198,1869
212 W MICHIGAN AVE,48197,1879
213 N SUMMIT ST,48197,1890
8660 FORD RD,48198,1870
622 N ADAMS ST,48197,1890
630 N ADAMS ST,48197,1885
7244 CRANE RD,48197,1883
35 S HURON ST,48197,1858
1 OAKWOOD AVE,48197,1894
606 W MICHIGAN AVE,48197,1893
14 S WASHINGTON ST,48197,1875
518 W MICHIGAN AVE,48197,1893
1 S HURON ST,48197,1884
19 N NORMAL ST,48197,1893
14 N RIVER ST,48198,1860
704 PEARL ST,48197,1870
110 PEARL ST,48197,1870
123 N SUMMIT ST,48197,1894
124 N SUMMIT ST,48197,1890
315 WASHTENAW AVE,48197,1870
201 MILES ST,48198,1874
225 N PROSPECT ST,48198,1850
216 N WASHINGTON ST,48197,1894
230 N GROVE ST,48198,1860
410 EMMET ST,48197,1896
311 MILES ST,48198,1850
967 WASHTENAW AVE,48197,1884
215 E CROSS ST,48198,1896
329 E CROSS ST,48198,1896
325 MAPLE ST,48198,1875
412 OAK ST,48198,1890
8383 VREELAND RD,48198,1870
201-203 W MICHIGAN AVE,48197,1880
6890 WILLIS RD,48197,1873
9048 STONEY CREEK RD,48197,1898
7424 BEMIS RD,48197,1885
7621 CARPENTER RD,48197,1856
5138 W MICHIGAN AVE,48197,1874
378 1ST AVE,48197,1895
11 N HAMILTON ST,48197,1884
97 SPRING ST,48197,1863
634 HARRIET ST,48197,1894
408 S HURON ST,48197,1860
117 HAWKINS ST,48197,1874
330 E CROSS ST,48198,1899
116 S HAMILTON ST,48197,1880
8 S SUMMIT ST,48197,1883
609 N CONGRESS ST,48197,1868
503 PEARL ST,48197,1884
409 WASHTENAW AVE,48197,1880
216 N GROVE ST,48198,1890
617 WASHTENAW AVE,48197,1850
209 N NORMAL ST,48197,1844
223 N RIVER ST,48198,1844
215 N SUMMIT ST,48197,1890
921 SHERIDAN ST,48197,1840
219 BALLARD ST,48197,1870
219 N HURON ST,48197,1845
302 N GROVE ST,48198,1865
300 N WASHINGTON ST,48197,1857
40 E CROSS ST,48198,1858
411 N ADAMS ST,48197,1890
211 MAPLE ST,48198,1886
429 N ADAMS ST,48197,1884
211 OLIVE ST,48197,1850
508 N HURON ST,48197,1870
624 NORRIS ST,48198,1860
124 W MICHIGAN AVE,48197,1860
101 W MICHIGAN AVE,48197,1837
813 N CONGRESS ST,48197,1843
6050 CARPENTER RD,48197,1876
136 HAWKINS ST,48197,1894
410 E MICHIGAN AVE,48198,1874
113 HAWKINS ST,48197,1869
314 N PARK ST,48198,1890
703 PEARL ST,48197,1890
105 N NORMAL ST,48197,1884
118 BALLARD ST,48197,1894
418 WASHTENAW AVE,48197,1879
216 OAKWOOD AVE,48197,1890
601 W FOREST AVE,48197,1885
227 MILES ST,48198,1890
417 W CROSS ST,48197,1888
318 MAPLE ST,48198,1876
333 E CROSS ST,48198,1886
301 MAPLE ST,48198,1896
438 N HURON ST,48197,1890
406 OAK ST,48198,1845
328 OAK ST,48198,1880
2474 HICKMAN RD,48198,1850
27 E CROSS ST,48198,1870
15 W MICHIGAN AVE,48197,1884
6012 MICHIGAN AVE,48197,1870
201 N NORMAL ST,48197,1890
219 S PROSPECT ST,48198,1896
109 BUFFALO ST,48197,1890
144 HAWKINS ST,48197,1894
412 E MICHIGAN AVE,48198,1819
213 N RIVER ST,48198,1831
511 EMMET ST,48197,1885
32 S NORMAL ST,48197,1893
720 TOWNER ST,48198,1885
27 S GROVE ST,48198,1869
610 W MICHIGAN AVE,48197,1893
25 S HURON ST,48197,1870
11 S ADAMS ST,48197,1887
106 BALLARD ST,48197,1884
206 N LINCOLN ST,48198,1869
210 MILES ST,48198,1898
811 WASHTENAW AVE,48197,1890
301 N GROVE ST,48198,1844
418 EMMET ST,48197,1896
309 BALLARD ST,48197,1850
424 BALLARD ST,48197,1890
504 N HAMILTON ST,48197,1884
501 W FOREST AVE,48197,1870
331 OAK ST,48198,1850
618 N ADAMS ST,48197,1885
9565 CHERRY HILL RD,48198,1850
115 PEARL ST,48197,1890
18 W MICHIGAN AVE,48197,1870
949 JEFFERSON ST,48197,1894
15 KRAMER ST,48197,1844
110 N SUMMIT ST,48197,1879
409 S HURON ST,48197,1873
403 S HAMILTON ST,48197,1880
315 S WASHINGTON ST,48197,1893
216 S HURON ST,48197,1858
113 WOODWARD ST,48197,1898
212-214 FERRIS ST,48197,1883
12 N SUMMIT ST,48197,1893
608 PEARL ST,48197,1884
204 NORTH ST,48198,1860
203 MILES ST,48198,1879
414 WASHTENAW AVE,48197,1865
301 N WASHINGTON ST,48197,1864
309 E CROSS ST,48198,1896
323 MAPLE ST,48198,1893
509 N ADAMS ST,48197,1870
7 OAK ST,48198,1875
615 N ADAMS ST,48197,1895
622 N PROSPECT ST,48198,1865
322 E FOREST AVE,48198,1870
709 E FOREST AVE,48198,1844
2700 HARRIS RD,48198,1820
626 N ADAMS ST,48197,1885
8508 STONEY CREEK RD,48197,1830
869 MONROE ST,48197,1880
524 MAUS AVE,48198,1896
215 S PROSPECT ST,48198,1895
237 N PROSPECT ST,48198,1880
803 N CONGRESS ST,48197,1893
707 N CONGRESS ST,48197,1886
515 N CONGRESS ST,48197,1843
932 N CONGRESS ST,48197,1844
11 N NORMAL ST,48197,1890
408 WASHTENAW AVE,48197,1884
316-318 WASHTENAW AVE,48197,1865
703 WASHTENAW AVE,48197,1870
1343 E FOREST,48198,1868
307 N ADAMS ST,48197,1894
313 E CROSS ST,48198,1886
409 N ADAMS ST,48197,1884
405 MAPLE ST,48198,1886
208 OLIVE ST,48197,1845
501 N ADAMS ST,48197,1894
14 OAK ST,48198,1886
15 OAK ST,48198,1886
517 N ADAMS ST,48197,1878
324 W FOREST AVE,48197,1858
610 N ADAMS ST,48197,1885
636 N ADAMS ST,48197,1895
210 W MICHIGAN AVE,48197,1879
208 W MICHIGAN AVE,48197,1879
102 W MICHIGAN AVE,48197,1860
626 E FOREST AVE,48198,1899
6235 WILLIS RD,48197,1873
8590 TUTTLE HILL RD,48197,1885
115 CATHERINE ST,48197,1862
2330 MCKINLEY AVE,48197,1883
320 S PROSPECT ST,48198,1869
310 S WASHINGTON ST,48197,1869
135 S GROVE ST,48198,1850
224 N SUMMIT ST,48197,1894
120 S GROVE ST,48198,1885
703 N CONGRESS ST,48197,1883
708 N CONGRESS ST,48197,1860
417 PEARL ST,48197,1869
61 N HURON ST,48197,1869
510 PEARL ST,48197,1869
113 PERRIN ST,48197,1884
117 PERRIN ST,48197,1898
210 N RIVER ST,48198,1894
956 SHERIDAN ST,48197,1840
416 N HURON ST,48197,1850
1645 E FOREST,48198,1850
3467 FRAINS LAKE RD,48198,1870
9809 PITMAN RD,48197,1875
8979 STONEY CREEK RD,48197,1800
6490 WHITTAKER RD,48197,1870
790 HARRIET ST,48197,1840
410 S HURON ST,48197,1894
355 1ST AVE,48197,1894
209 BUFFALO ST,48197,1850
402 E CROSS ST,48198,1850
719 W MICHIGAN AVE,48197,1893
113 S WASHINGTON ST,48197,1880
